Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,HOWMEDICA INC.,," Implant, 1991; Update Instrumentation, 1997",Omega+Plus Compression Hip Screw,"Compression hip screw system, consisting of a sideplate, 98° supracondylar plate, standard and super lag screws and a compressing screw",22-13-5 stainless steel alloy,Hip and distal femur fracture fixation,,"Proximal hole in sideplate accepts 6.5mm cancellous screw, regular or cannulated, for stabilization of medial fragment   Roller-burnished polishing of plate barrel enhances sliding of lag screw and provides increased resistance to galling   98° Supracondylar Plate is based on anthropometric studies for optimal anatomic fit and function","Sideplate is Available in both standard barrel (38mm) and short barrel (25mm) styles and a full range of sizes   98° Supracondylar plate is Available in 5 lengths 123mm, 159mm, 195mm, 231mm and 267mm   Standard Lag Screw 13mm thread diameter and 22mm thread length, in lengths ranging from 50mm to 130mm   Super Lag Screw 15mm thread diameter, 22mm thread length, in lengths ranging from 50mm to 130mm",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,HOWMEDICA INC.,,,Alta® Hip Bolt/Screw System,"Angled plate, lag screw and hip bolt for keyless hip fracture fixation",Titanium alloy,Hip and distal femur fracture fixation,,"|  Enhanced cutting threads and pn tapered fit for easier insertion in   Reverse cutting thread facilitate removal   Screw shaft diameter is *nlarged to provide a greater surface area to initiate sliding, allowing maximum compression capability in the sideplate barrel","Five plate angles ??130°, 135°, 140°, 145° and 150°  3-hole plates are 85mm in length  4-hole plates are 104mm in length",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,HOWMEDICA INC.,,,Mainstay® Suture Anchor,"A soft tissue anchor which combines suture strength, NCS pullout resistance and ease of insertion/removal ®",Titanium alloy,A Securing soft tissue to bone  %,Package insert provides exact indications o®,"> Cradle design provides maximum surface area RQ contact and stress distribution within the anchor,  optimizing suture strength Vv 3-sided self-drilling, self-tapping cutting tip allows ®' single-step placement with low insertion torque b > A","2.7mm, 3.5mm, and 4.5mm, with or without Yr pre-loaded suture  x % a? ??,VE   Yes -® . J 0 Val PS. The Mainstay Soft Tissue Anchor is intended for the fixation of non-absorbable braided polyester surgical suture to bone for  the anatomical locations and indications listed below     Shoulder Bankart Repair", SLAP Lesion Repair, Biceps Tenodesis, Acromio-Clavicular Separation Repair, Rotator Cuff Repair, Capsular Shift/Capsulolabral Reconstruction, Deltoid Repair  Foot and Ankle Medial or Lateral Instability Repair/Reconstruction, Achilles Tendon Repair/Reconstruction, Midfoot Reconstruction, Hallux Valgus Reconstruction  Pelvis Bladder Neck Suspension Procedures  Elbow, Wrist, Hand Scapholunate Ligament Reconstruction, Ulnar or Radial Collateral Ligament Reconstruction, Tennis Elbow Repair, Biceps Tendon Reattachment  Knee Extra Capsular Repairs Medial Collateral Ligament; Lateral Collateral Ligament; Posterior Oblique Ligament, Illiotibial Band Tenodesis," Patellar Tendon Repair  Hip Adductor Tendon Reconstruction""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,HOWMEDICA INC.,,,Apex??Fixation Pins,"Mini-, small and large frame fixation pins for *xternal fixation devices",Stainless steel,External fracture fixation,,"Advanced thread design with 30% increase in pin/bone interface for greater resistance to pullout and loosening  Helical flutes channel bone debris away from pin face, providing cooler drilling temperatures  Available in both blunt and self-drilling styles","1.5mm, 3mm and 4mm transfixing pins. 3mm small transfixing pins. 2-6mm blunt half pins. 2-5mm self-drilling half pins. Available in a wide range of lengths",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,HOWMEDICA INC.,,1997,Coughlin Reamer,A small joint reamer system for metatarsophalangeal/metacarpophalangeal arthrodesis. Includes Vitalium plates and SCTEWS,Vitalium® alloy plates and screws Stainless steel reamers,Arthrodesis of small joints of the toes and fingers,Hallux valgus deformity  Traumatic arthritis   Hallux rigidus   Neuromuscular instability,Cup shaped reamers  Reamers cannulated to accept .062 K-wire  Reamers are heat treated to maintain sharp-cutting edge,10-18mm (even sizes),Plate benders Plate clamp   Drill guide   Storage cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,HOWMEDICA INC.,,1994,FirstStep® Tibial Osteotomy System,"A two-piece ratchet type implant that provides purchase across the full width of the proximal tibia, creating complete osteotomy closure and constant compression",Vitallium® alloy,High tibial osteotomies,,No second surgery required; device removal is not mandatory,"Proximal segment three step sizes ??5mm, 10mm, and 15mm - and from 60mm to 90mm lengths, in 5mm increments   Distal segment 30mm, 35mm, 40mm, and 45mm lengths",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"SMITH & NEPHEW, INC.",,,"TC-100??""Comprehensive fracture implants and instruments for small", mini, large," pelvic and trauma""",Stainless steel,Open treatment of fractures,"Hand, forearm, humerus, femur, tibia, foot and pelvis",,"\ -) 8        Small, mini, large and pelvic",Available with set,Compatible with traditional AQ stainless steel implants,,"So  Complete set contains | == ei plates, screws and general 11 \ == SET A instruments 1-/ iit te CEREAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"SMITH & NEPHEW, INC.",,,Russell-Taylor® Interlocking Nail System,Cannulated interlocking intramedullary device,316 LVM stainless steel,Intramedullary fixation for treatment of long bone fractures,"C6mminuted, segmented, spiral, oblique fractures, non-unions and     mal-unions for the femur an tibia",,Select sizes Available to match anatomy for reamed or non-reamed applications,Specific instrumentation Available,,,Interlocking fixation to control rotation and limb length   Biomechanical advantages and a load sharing device   Closed surgical approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"SMITH & NEPHEW, INC.",,,Intramedullary Supracondylar Nail (IMSC),Cannulated interlocking intramedullary device,316 LVM stainless steel,Intramedullary fixation for distal femoral fractures,Supracondylar fractures of the distal femur,,"11, 12, 13mm diameter 15, 20, 25, 30cm lengths  5mm locking screws",Specific instrumentation Available,,,Interlocking fixation to control rotation and limb length  Biomechanical advantages as a load sharing device Closed surgical approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"SMITH & NEPHEW, INC.",,,The AMBI® and Richards Classic??Comprehensive hip screw system (adult),Stainless steel,Treatment of proximal femoral fractures,"Intertrochanteric, subtrochanteric and proximal femoral fractures",,"130, 135, 140, 145, 150° angles 2 hole-14-hole plates/60-300mm length  Lag screw 55-140mm in length",Available with set,Systems represent both keyed and keyless implant options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,HOWMEDICA INC.,,,Monotube® Unilateral External Fixation System,A unilateral fixation device for a wide variety of long bone fracture and lengthening applications   One simple system provides both dynamic and carbon tube options  Can be used in conjunction with the Hoffmann® II and Monticelli-Spinelli??circular *xternal fixation systems                          Adjustable Dynamization Collar,Non-binding ??Roller Bearings Carbon fiber and anodized  aluminum alloy Biospring,Unilateral external fixation and lengthening of long bones,,"Easily assembled by sliding the desired clamps anywhere and at any angle along the tube Final reduction can be achieved with the frame attached to the half pins, and fine-tuned using the compression/distraction device  Three color-coded sizes The dynamic tube allows ?�dialing in??the exact amount of compression at the fracture sight","Three color-coded sizes small, medium and large",Yes. Color-coded to size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,HOWMEDICA INC.,,,Monticelli-Spinelli??Circular External Fixation System,Circular frame components for small wire fracture fixation Lightweight aluminum ring designs permit unrestricted placement of wires and half pins  Clamps slide easily around the internal or  *xternal rim of the ring providing additional flexibility,Partial radiolucent aluminum alloy,Fracture fixation and limb lengthening,"Peri-articular fractures, particularly of the tibia; high-energy open fractures of the tibia; severely c6mminuted proximal or distal tibial fractures; tibial plateau fractures; pilon fractures; and limb lengthening","Wire, pin and rod clamps can be placed anywhere along the inside and outside rings, *nsuring optimal fracture fixation and frame stability   The clamps can also be placed above or below rings to provide clearance for other fixation devices and to facilitate X-ray visualization   Fully compatible with Original Hoffmann®, Hoffmann® II and Monotube® systems, providing a virtually unlimited number of hybrid options","1/4??and 3/4??rings in 7 interior diameters, ranging from 100mm to 210mm",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,HOWMEDICA INC.,,,Original Hoffmann®/Hoffmann® II External Fixation System,"Modular fixation frames which allow for true independent pin placement   Hoffmann II is completely compatible with Original® Hoffmann components  Hoffmann II improves flexibility and *ase-of-use with minimal componentry, and provides the flexibility to dynamize frame constructs when appropriate  Fully compatible with the Monotube® unilateral fixator and Monticelli- Spinelli??circular fixator systems","Stainless steel, aluminum alloy and carbon fiber",External fracture fixation,"Long bone fractures (including  peri-articular) of humerus, tibia, femur and other long bones in selected cases Pelvic fractures Osteotomies","New clamp designs offer true independent pin placement with a snap-fit mechanism that *liminates the need to preassemble components   Components may be added to the frame at any time without having to dismantle the frame and risk loss of reduction  Connecting rods are Available in stainless steel, carbon and aluminum allowing versatility in frame stability and elasticity  An optional dynamization tube controls micromotion at the fracture site",N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,HOWMEDICA INC.,, February 1998,Hoffmann® II Compact,Upper extremity version of Hoffmann II,"Aluminum, stainless steel",Fracture fixation,,Snap-fit mechanism Peri-articular clamp,5mm Rods,Torque wrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,HOWMEDICA INC.,, 1996 (in the U.S.),Dynamic Joint Distractor,Elbow distraction. System applied *xternally. Stabilization also possible,Stainless steel,For elbow joint distraction/stabilization,Stiff joint (elbow) Acute trauma/chronic elbow,Compression/distraction capability Radiolucent drill/pin guides 2 application types,1 system with various rod lengths,Radiolucent guide for humerus guide for ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,HOWMEDICA INC.,," January, 1997",OsteoStat??Single-Use Power Equipment,"Single-use power equipment for use in orthopaedic osteotomies and other bone-cutting procedures   Each handpiece comes in a pre-sterile package and is ready to use   Power is electric, guaranteeing continuous power for the surgical procedure  The need for cleaning, sterilization, and the expense of costly repairs and services are avoided with the OsteoStat single use power equipment",#  Medical grade plastic 47,"For cutting, shaping and augmenting bone, tissue and cartilage","Use for total, partial or revision knee, hip and trauma procedures",Pre-sterilized One time use Ready to use,"Oscillating saw, reciprocating saw, drill, reamer and sternum saw",Compatible with Howmedica instrumentation,"Product launched November 1, 1996","Mancuso, R., Bickman, M.]. Estimating the True Costs of Disposable and Reusable Instruments, AORN Journal, Vol. 62 No. 1, July, 1995.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"SMITH & NEPHEW, INC.",,,Ilizarov System,Circular ring fixation device,Stainless and composite (carbon fiber),Fracture fixation and deformity correction,"Simple and complex fractures, non-unions, defects, angular deformity correction, limb lengthening",,80mm-240mm half-rings can be assembled to acc6mmodate virtually any size patient,Specific instrumentation Available,Medical education program Available,,"Fully modular, can be configured to address any pathology in line with listed indications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
